
2025/02/26 (00:33:18) | ===> btop++ v.1.4.0
2025/02/26 (00:33:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (18:49:52) | ===> btop++ v.1.4.0
2025/02/26 (18:49:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (19:03:59) | ===> btop++ v.1.4.0
2025/02/26 (19:03:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (19:52:08) | ===> btop++ v.1.4.0
2025/02/26 (19:52:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (15:05:54) | ERROR: Stall in Runner thread, restarting!

2025/02/27 (15:08:55) | ===> btop++ v.1.4.0
2025/02/27 (15:08:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (19:57:25) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:57:42) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:57:56) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:59:14) | ERROR: Stall in Runner thread, restarting!

2025/03/02 (13:58:51) | ===> btop++ v.1.4.0
2025/03/02 (13:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (15:22:43) | ===> btop++ v.1.4.0
2025/03/05 (15:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (15:39:57) | ===> btop++ v.1.4.0
2025/03/05 (15:39:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (13:06:14) | ===> btop++ v.1.4.0
2025/03/09 (13:06:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (13:47:17) | ===> btop++ v.1.4.0
2025/03/09 (13:47:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/09 (13:47:24) | WARNING: Failed to join _runner thread on exit!

2025/03/09 (13:49:22) | ===> btop++ v.1.4.0
2025/03/09 (13:49:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (14:12:31) | ===> btop++ v.1.4.0
2025/03/15 (14:12:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (15:47:34) | ===> btop++ v.1.4.0
2025/03/19 (15:47:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (15:03:22) | ===> btop++ v.1.4.0
2025/03/24 (15:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (11:31:02) | ===> btop++ v.1.4.0
2025/03/26 (11:31:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:23:32) | ===> btop++ v.1.4.0
2025/04/01 (14:23:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (16:05:30) | ===> btop++ v.1.4.0
2025/04/01 (16:05:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (20:07:32) | ===> btop++ v.1.4.0
2025/04/01 (20:07:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (23:07:07) | ===> btop++ v.1.4.0
2025/04/01 (23:07:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (23:36:30) | ===> btop++ v.1.4.0
2025/04/01 (23:36:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:13:43) | ===> btop++ v.1.4.0
2025/04/02 (00:13:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:43:36) | ===> btop++ v.1.4.0
2025/04/02 (18:43:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (19:17:35) | ===> btop++ v.1.4.0
2025/04/02 (19:17:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (00:00:55) | ===> btop++ v.1.4.0
2025/04/03 (00:00:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (00:23:28) | ===> btop++ v.1.4.0
2025/04/03 (00:23:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (20:43:02) | ===> btop++ v.1.4.0
2025/04/03 (20:43:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (11:51:18) | ===> btop++ v.1.4.0
2025/04/07 (11:51:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:35:51) | ===> btop++ v.1.4.0
2025/04/07 (22:35:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:35:41) | ===> btop++ v.1.4.0
2025/04/12 (13:35:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (15:26:20) | ===> btop++ v.1.4.0
2025/04/13 (15:26:20) | WARNING: Intel GPU: Failed to initialize PMU
